duration,duration_seconds,start_time,start_station,start_terminal,end_time,end_station,end_terminal,bike_number,rider_type,id
0h 7m 44sec.,464,2/13/2012 15:17,Massachusetts Ave & Dupont Circle NW,31200,2/13/2012 15:24,Adams Mill & Columbia Rd NW,31104,W01417,Registered,138850
0h 13m 44sec.,824,3/26/2012 16:45,Georgetown Harbor / 30th St NW,31215,3/26/2012 16:58,Adams Mill & Columbia Rd NW,31104,w00644,Registered,333681
0h 9m 42sec.,582,3/24/2012 10:56,25th St & Pennsylvania Ave NW,31237,3/24/2012 11:06,17th & Corcoran St NW,31214,W01374,Registered,323428
0h 24m 20sec.,1460,1/13/2012 8:48,Van Ness Metro / UDC,31300,1/13/2012 9:12,10th St & Constitution Ave NW,31219,W00983,Registered,37103
0h 11m 55sec.,715,3/2/2012 8:45,Massachusetts Ave & Dupont Circle NW,31200,3/2/2012 8:57,US Dept of State / Virginia Ave & 21st St NW,31220,W00412,Registered,205750
0h 2m 48sec.,168,1/28/2012 16:11,16th & Harvard St NW,31103,1/28/2012 16:14,Lamont & Mt Pleasant NW,31107,W00075,Registered,83867
0h 4m 10sec.,250,1/22/2012 20:20,14th & Harvard St NW,31105,1/22/2012 20:24,Adams Mill & Columbia Rd NW,31104,W00754,Registered,62588
0h 6m 41sec.,401,2/22/2012 22:49,Thomas Circle,31241,2/22/2012 22:56,20th & O St NW / Dupont South,31234,W01153,Registered,174607
0h 16m 10sec.,970,3/12/2012 18:17,L'Enfant Plaza / 7th & C St SW,31218,3/12/2012 18:34,Eastern Market / 7th & North Carolina Ave SE,31610,W00092,Registered,250421
0h 21m 21sec.,1281,1/24/2012 10:46,13th & H St NE,31611,1/24/2012 11:08,4th St & Massachusetts Ave NW,31604,W00418,Registered,66437
0h 6m 8sec.,368,1/18/2012 22:17,5th St & K St NW,31600,1/18/2012 22:23,1st & M St NE,31603,W01074,Registered,52953
0h 10m 3sec.,603,3/21/2012 17:53,Lynn & 19th St North,31014,3/21/2012 18:03,37th & O St NW / Georgetown University,31236,W00926,Registered,304557
0h 1m 27sec.,87,2/3/2012 19:34,11th & Kenyon St NW,31102,2/3/2012 19:36,11th & Kenyon St NW,31102,W00208,Registered,108656
0h 20m 13sec.,1213,2/20/2012 16:53,L'Enfant Plaza / 7th & C St SW,31218,2/20/2012 17:13,Thomas Circle,31241,W01409,Casual,165131
0h 11m 53sec.,713,3/15/2012 13:09,16th & U St NW,31229,3/15/2012 13:21,New York Ave & 15th St NW,31222,W00763,Registered,266473
0h 7m 58sec.,478,3/5/2012 7:18,11th & Kenyon St NW,31102,3/5/2012 7:26,16th & U St NW,31229,W00595,Registered,215738
0h 18m 32sec.,1112,1/13/2012 17:46,14th & D St NW / Ronald Reagan Building,31231,1/13/2012 18:05,20th St & Florida Ave NW,31110,W00133,Registered,38687
0h 7m 55sec.,475,1/10/2012 14:09,Columbus Circle / Union Station,31623,1/10/2012 14:17,14th & D St SE,31607,W00888,Registered,28073
0h 6m 52sec.,412,2/3/2012 19:10,North Capitol St & F St NW,31624,2/3/2012 19:17,7th & F St NW / National Portrait Gallery,31232,W01124,Registered,108531
0h 14m 27sec.,867,2/9/2012 17:48,4th & D St NW / Judiciary Square,31621,2/9/2012 18:02,1st & Rhode Island Ave NW,31506,W00519,Registered,128435
0h 20m 31sec.,1231,1/24/2012 23:22,5th St & K St NW,31600,1/24/2012 23:42,Park Rd & Holmead Pl NW,31602,W00395,Casual,69497
0h 6m 18sec.,378,3/1/2012 18:03,7th & R St NW / Shaw Library,31245,3/1/2012 18:09,17th & Rhode Island Ave NW,31239,W01153,Registered,203397
0h 8m 32sec.,512,1/14/2012 16:19,Calvert St & Woodley Pl NW,31106,1/14/2012 16:27,Connecticut Ave & Newark St NW / Cleveland Park,31305,W00594,Registered,41288
0h 23m 59sec.,1439,2/8/2012 7:10,5th & F St NW,31620,2/8/2012 7:34,18th & Bell St,31007,W01307,Registered,123346
0h 7m 30sec.,450,2/20/2012 8:46,7th & R St NW / Shaw Library,31245,2/20/2012 8:54,8th & H St NW,31228,W01400,Registered,163238
0h 7m 51sec.,471,3/11/2012 10:14,3000 Connecticut Ave NW / National Zoo,31307,3/11/2012 10:21,20th St & Florida Ave NW,31110,W00677,Registered,242282
0h 15m 16sec.,916,3/21/2012 8:32,7th & R St NW / Shaw Library,31245,3/21/2012 8:47,C & O Canal & Wisconsin Ave NW,31225,W01155,Registered,301666
0h 10m 3sec.,603,2/17/2012 19:09,18th & M St NW,31221,2/17/2012 19:19,10th & U St NW,31111,W00449,Registered,155290
0h 8m 12sec.,492,3/23/2012 12:16,Georgia Ave and Fairmont St NW,31207,3/23/2012 12:24,14th & V St NW,31101,W00611,Registered,316286
1h 5m 30sec.,3930,3/23/2012 14:21,USDA / 12th & Independence Ave SW,31217,3/23/2012 15:27,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,W01226,Casual,317218
0h 11m 58sec.,718,2/23/2012 0:14,Georgia & New Hampshire Ave NW,31400,2/23/2012 0:26,Florida Ave & R St NW,31503,W01344,Casual,174706
0h 6m 16sec.,376,3/25/2012 16:57,Convention Center / 7th & M St NW,31223,3/25/2012 17:03,15th & P St NW,31201,W01408,Registered,328678
0h 18m 42sec.,1122,3/21/2012 17:32,13th St & New York Ave NW,31227,3/21/2012 17:51,Adams Mill & Columbia Rd NW,31104,W00426,Registered,304283
0h 3m 59sec.,239,2/14/2012 14:11,14th & D St SE,31607,2/14/2012 14:15,Lincoln Park / 13th & East Capitol St NE,31619,W00793,Registered,142532
0h 10m 52sec.,652,3/12/2012 8:51,10th & U St NW,31111,3/12/2012 9:02,8th & H St NW,31228,W01231,Registered,247646
1h 7m 39sec.,4059,3/21/2012 18:37,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,3/21/2012 19:44,20th & O St NW / Dupont South,31234,W00497,Casual,305152
0h 10m 11sec.,611,3/6/2012 12:44,14th & V St NW,31101,3/6/2012 12:55,17th & K St NW [formerly 17th & L St NW],31213,W00661,Registered,220413
0h 39m 14sec.,2354,3/23/2012 19:01,19th St & Constitution Ave NW,31235,3/23/2012 19:40,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,W00560,Casual,320360
0h 4m 19sec.,259,3/28/2012 9:23,M St & Pennsylvania Ave NW,31246,3/28/2012 9:27,21st & M St NW,31212,W00590,Registered,342608
0h 20m 32sec.,1232,3/29/2012 20:40,Jefferson Dr & 14th St SW,31247,3/29/2012 21:01,13th & D St NE,31622,W01468,Registered,352486
0h 15m 48sec.,948,1/18/2012 12:03,Florida Ave & R St NW,31503,1/18/2012 12:18,20th St & Florida Ave NW,31110,W00892,Registered,50983
0h 36m 50sec.,2210,3/27/2012 18:57,New York Ave & 15th St NW,31222,3/27/2012 19:34,New York Ave & 15th St NW,31222,W00522,Casual,340092
0h 39m 29sec.,2369,3/16/2012 10:22,Georgetown Harbor / 30th St NW,31215,3/16/2012 11:02,10th St & Constitution Ave NW,31219,W00332,Casual,271836
0h 24m 50sec.,1490,3/31/2012 15:13,Calvert St & Woodley Pl NW,31106,3/31/2012 15:37,7th & F St NW / National Portrait Gallery,31232,W01097,Registered,361942
